product,total_quantity_sold,total_revenue,average_quantity_sold,predicted_60_day_quantity,reason
"     Rice, Grains & Flour Products / Roti Naan",881.0,5571.19,881.0,52860.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets,396.0,2310.54,396.0,23760.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Biscuits,5093.49,9108.4,5093.49,305609.39999999997,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Can Sweets,14.0,82.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Candy & Cadbury,2835.0,8665.56,2835.0,170100.0,Prediction is based on average quantity sold during the given timeframe.
"     Snacks & Sweets / Cookies, Khari & Rusk",1679.0,5991.81,1679.0,100740.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Jams,124.0,485.26,124.0,7440.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Mukhvas,251.0,828.51,251.0,15060.0,Prediction is based on average quantity sold during the given timeframe.
     Snacks & Sweets / Snacks,7556.55,23767.91,7556.55,453393.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments",22.0,65.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Chutneys",544.0,2326.56,544.0,32640.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Food Color & Essence",52.0,109.48,52.0,3120.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Papad",256.0,562.94,256.0,15360.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Sauces",465.0,1670.35,465.0,27900.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Spice Mix",4723.8,11496.71,4723.8,283428.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / Spices",3421.0,13358.05,3421.0,205260.0,Prediction is based on average quantity sold during the given timeframe.
"     Spices, Seasonings & Condiments / pickles",602.0,2056.18,602.0,36120.0,Prediction is based on average quantity sold during the given timeframe.
     bis,14.0,55.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
     candy,31.0,61.69,31.0,1860.0,Prediction is based on average quantity sold during the given timeframe.
     cosmetics,38.0,149.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
     pooja,18.99,46.86,18.99,1139.3999999999999,Prediction is based on average quantity sold during the given timeframe.
     produce,1181.98,4337.49,1181.98,70918.8,Prediction is based on average quantity sold during the given timeframe.
     snacks,6.0,23.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
088168150119,32.0,63.68,32.0,1920.0,Prediction is based on average quantity sold during the given timeframe.
108 Rudraksha Wicks,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
12 inch,4.0,167.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
15 inch,2.0,129.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
24 Brown Basmati Rice 10Lb,5.0,134.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
24 M Sonamasoori Brown 10Lb,6.0,119.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
24 Mantra Brown Basmatirice2Lb,1.0,8.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
24M Basmati White Rice 10Lb,2.0,59.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
24M Idly Rice 10Lb,3.0,53.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
24M Mustard Oil 1Ltr,4.0,39.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
24M Organic Sona Masuri 10lb,4.0,79.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
24M Urad White Split 4Lb,4.0,51.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
3Roses 250 G,9.0,47.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
50-50 Sweet & Salty,108.49,107.41,108.49,6509.4,Prediction is based on average quantity sold during the given timeframe.
777 Camphor,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
777 Nannari Syrup,5.0,24.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
8 inch,9.0,222.92,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
A&B KAJU GUNJIYA 341G,6.0,65.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
AACHI BIRYANI MASALA 100G,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
AACHI CHAAT MASALA 100G,9.0,26.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
AAHASPICY MASALA PEANUTS 150G,17.0,50.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
AARA COCONUT PWDR 200G,17.0,33.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
AARA HIMALAYAN PINK SALT 2LB,27.0,94.23,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
AARA JOWAR FLOUR 2LB,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
AARA LADDU BESAN 2LB,15.0,59.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
AARA LADDU BESAN 4LB,6.0,41.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
AARA PHOOL NAKHANA 100G,11.0,54.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
ADANI GINGER POWDER 100G,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
ADANI SAFFRON 1G,8.0,47.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
ADANI SESAME SEEDS 200GM,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
AMUL CAFE CINAMON 200ML,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
AMUL CONDENSED MILK 400G,56.0,195.44,56.0,3360.0,Prediction is based on average quantity sold during the given timeframe.
AMUL GULAB JAMUN 1kg,29.0,173.71,29.0,1740.0,Prediction is based on average quantity sold during the given timeframe.
AMUL KHOA 200G,11.0,38.39,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
AMUL MASTI YOGURT 4.4LB,100.0,899.0,100.0,6000.0,Prediction is based on average quantity sold during the given timeframe.
AMUL MILK SHAKE,20.0,39.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
APNA DESI SUGAR 4LB,4.0,31.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
APPY FIZZ 250 ml,13.0,12.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
AVANI COCONUT OIL 1L,3.0,20.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
AVANI GINGELLY OIL 2L,8.0,119.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
AVANI GINGELY OIL 500GM,29.0,173.71,29.0,1740.0,Prediction is based on average quantity sold during the given timeframe.
AVANI MUSTARD OIL 4L,1.0,16.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
AVANI PEANUT OIL 4L,4.0,95.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Badam drink 180g,11.0,32.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Butter Chicken Masala,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Butter chicken Masala 100gm,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Chicken Curry 100G,17.0,50.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Chicken Lollipop 100Gm,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Chicken Tikka 100G,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Country Chicken Biryani 45G,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Curry Masala 100g,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Dum Biryani Msl,10.0,19.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Fish Masala 100G,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Garam Masala 100G,12.0,35.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Hyderabadi Dum Biryani 45g,7.0,13.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Idicha Sambar Powder 100g,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Idly powder 100g,11.02,32.95,11.02,661.1999999999999,Prediction is based on average quantity sold during the given timeframe.
Aachi Idyappam powder 1kg,5.0,24.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Kashmiri Chilli 100G,10.0,29.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Madras sambar powder 100g,6.0,11.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Malay Chciken Biryani 40g,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Memoni Mutton Bir 45G,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Mughal Biryani 45G,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Mutton Curry 100G,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Mutton Masala 100G,15.0,44.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Nawabi Chicken Biryani 45g,3.0,5.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Pani puri Masala 100gm,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Puttu Powder (rice Flour) 1kg,5.0,24.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Ragi Flour 1kg,8.0,39.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Ragi Flour Roasted 1 Kg,4.0,15.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Rasam powder 100g,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Rava Dosa Mix,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Rava Idli Mix,16.0,47.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Rava Idli Mix 1 Kg,2.0,10.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Rava Upma Mix 1 kg,1.0,5.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Sambar Powder 100g,6.0,11.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Sindhi Biryani Msl 45G,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Spicy Sambar Powder 100g,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Tandoori Masala 100G,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Tomato rice 100gm,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aachi Vathakulambu masala 100g,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aachi chetinad chicken biryani 45g,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aachi fish fry 100g,7.0,20.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Aachi fried chicken mix 100g,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi lemon powder rice 100gm,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aachi malabar chicken 45g,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi meat masala 100gm,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi paneer tikka masala 100gm,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aachi pepper chicken masala 100gm,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aachi pilau biryani 45g,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Ajinomoto 100g,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Ajwain Seeds 400G,3.0,14.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Anardana Powder 100G,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Basil seeds 100g,19.0,37.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Aara Bay Leaves 100G,6.0,23.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Aara Black Pepper 7 Oz,3.0,14.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Black Pepper Powder 100G,8.0,20.72,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aara Black Salt 100G,16.0,23.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Aara Brown Cane Sugar 1.56Kg,1.0,7.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Brown Cane Sugar 800G,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Bw Chori 4Lb,1.0,6.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Chana Dalia 56Oz,1.0,7.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Chana Daliya/800Gm,2.0,8.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Chilli Kashmiri 200G,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Chilli Powder 400G,1.0,6.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cinnamon St 200G,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cinnamon Stick 100G,17.0,42.33,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cinnamon Sticks 100G,10.0,24.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Aara Citric Acid 100G,1.0,1.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Coconut Powder,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aara Coconut Powder 400G,6.0,20.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Aara Corinder Seeds 400G,14.0,48.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Aara Corriander Pwdr 14Oz,3.0,11.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Crack Wheat Coarse 4 Lb,2.0,13.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Crystal Soan Massori 20Lb,10.0,249.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cumin Coriander 200G,11.0,32.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cumin Powder 400,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Cumin Seeds 800G,2.0,25.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Dalia Split 400Gms,12.0,29.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Aara Desi Bura Sugar 4Lbs,1.0,5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Diabetic Basmati 4Lb,2.0,19.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Dried Mint Leaves 100G,6.0,17.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Aara Edible Gum 3.5Oz,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fennel Roasted 400G,4.0,23.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fennel Seeds 200G,12.0,41.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fennel Seeds 400Gm,11.0,76.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fenugreek Seeds 200Gm,18.0,35.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Aara Flax Seed 400G,2.0,8.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Flax Seeds 200G,11.0,27.39,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fried Onion Non Coated,16.0,63.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fried Onion Wid Coated,19.0,66.31,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Aara Fryums Bhindi Cut Colour,7.0,17.43,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Aara Garam Masala 7Oz,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Garam Masala Whole,5.0,39.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aara Ginger Garlic 700G,22.78,90.89,22.78,1366.8000000000002,Prediction is based on average quantity sold during the given timeframe.
Aara Ginger Pwdr 14Oz,4.0,19.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aara Jaggery 14Oz,7.0,41.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Aara Kalonji 100G,11.0,27.39,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Aara Kolhapuri Jaggery 1Kg,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Kolhapuri Mamra 400G,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aara Mace Whole 100G,2.0,19.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Masoor Dal 4Lb,3.0,17.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Moong Chilka 2Lb,5.0,19.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Aara Moong Chilka 4Lb,2.0,13.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Moong Dal 2Lb,4.0,15.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Aara Mustard Seeds 400G,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Nutmeg Whole 100g,2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Pani Puri 200Gm,8.0,15.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Aara Peanuts 400G,14.0,41.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Aara Phool Makhana 200G,3.0,26.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Aara Pipe-yellow Colour 400g,12.0,29.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Aara Poppy Seeds 3.5Oz,15.0,44.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Aara Quinoa 800G,2.0,15.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Quinoa Seeds 400G,10.0,36.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Aara Red Chili 400G,2.0,8.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Aara Red Coconut Chutney 200G,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Aara Sabudana 200Gm,16.0,15.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
