product,total_quantity_sold,total_revenue,average_quantity_sold,average_revenue,number_of_records
Spicy Cashews,133.0,1328.67,133.0,1328.67,1
Laxmi Peanut Raw 800G,332.0,1324.68,332.0,1324.68,1
Amul Milk Slim & Trim 2%,265.0,1322.35,265.0,1322.35,1
Pav Bread,442.0,1321.58,442.0,1321.58,1
Puja Coconut / Piece,331.0,1320.69,331.0,1320.69,1
Manual,706.24,1306.24,706.24,1306.24,1
Rakhi,312.99,1271.37,312.99,1271.37,1
CLAY ganesh 9 inch,41.0,1225.59,41.0,1225.59,1
BITTERMELON INDIAN,449.54,1223.1,449.54,1223.1,1
     Health & Personal Care / Henna & Dye,360.0,1194.4,360.0,1194.4,1
Green Beans / Lb,794.18,1177.54,794.18,1177.54,1
Pearl Onions Red 10Oz Bag,289.0,1152.11,289.0,1152.11,1
Country M Dozen Eggs,185.0,1150.15,185.0,1150.15,1
patri small,127.0,1136.74,127.0,1136.74,1
Ammask Sona Masoori Rice20L,70.0,1119.29,70.0,1119.29,1
Zaniyn Dosa/Idly Batter 50Oz,121.0,1087.79,121.0,1087.79,1
Papaya,313.22,1077.78,313.22,1077.78,1
Methi Bunch / Each,565.0,1068.85,565.0,1068.85,1
Gopi Paneer 8Oz,178.0,1066.22,178.0,1066.22,1
Spinach Bunch 1Ct,698.0,1041.52,698.0,1041.52,1
Goat Head Cut,67.89,1017.77,67.89,1017.77,1
Laxmi Raw Peanut 3.5Lb,142.0,992.58,142.0,992.58,1
Paan/ Pan Leaves,934.0,976.0,934.0,976.0,1
Straw Coconut,327.0,975.73,327.0,975.73,1
Laxmi Jumbo Peanut 4Lb,122.0,974.78,122.0,974.78,1
Vijaya Chakali (198.4G),277.0,966.73,277.0,966.73,1
Amul Shakti 1 Gal,156.09,933.98,156.09,933.98,1
clay ganesh 11 inch,24.0,921.76,24.0,921.76,1
Desi Natural Dahi low fat 4lb,114.0,907.86,114.0,907.86,1
Ginger Chinese / Lb,385.39,905.95,385.39,905.95,1
Dairymilk Milk&Choc 110Gm,227.0,905.73,227.0,905.73,1
AMUL MASTI YOGURT 4.4LB,100.0,899.0,100.0,899.0,1
Bell Pepper Green /Lb,673.5,882.47,673.5,882.47,1
Mrs Bairds Bread 1Lb,221.0,881.79,221.0,881.79,1
Verka Organic Paneer 10Oz,95.0,854.05,95.0,854.05,1
Apple/Each,1058.0,835.82,1058.0,835.82,1
Mehendi Cone,279.0,834.21,279.0,834.21,1
     Snacks & Sweets / Mukhvas,251.0,828.51,251.0,828.51,1
Laxmi Toor Dal 2Lb,204.0,827.96,204.0,827.96,1
Gopi Paneer 2.5 Lb,46.0,827.54,46.0,827.54,1
Desi Yogurt-2Lb Lf,164.0,817.36,164.0,817.36,1
CLAY GANESH 12 INCH,18.0,807.82,18.0,807.82,1
Loose Garlic / Lb,156.51,780.5,156.51,780.5,1
Amma sona masoori rice 40LB,26.0,779.74,26.0,779.74,1
Arbi / Lb,435.16,772.85,435.16,772.85,1
Fresh Muli / Lb,413.03,762.43,413.03,762.43,1
Yellow Onion / Lb,1114.94,754.15,1114.94,754.15,1
Deccan Sona Masoori Rice 20Lb,34.0,747.66,34.0,747.66,1
Diyas,122.0,742.3,122.0,742.3,1
Sri Ganesh Dosa Batter 1700G,92.0,735.08,92.0,735.08,1
Laxmi Toor Dal Madhi 4Lb,103.0,734.97,103.0,734.97,1
Organic Desi Yogurt,122.0,726.78,122.0,726.78,1
Janaki's Spicy Peanuts 10 Oz,121.0,724.79,121.0,724.79,1
clay ganesh 10 inch,20.0,719.8,20.0,719.8,1
"     Rice, Grains & Flour Products",61.0,714.39,61.0,714.39,1
Bobbatlu,101.0,705.99,101.0,705.99,1
Cucumber,702.86,695.79,702.86,695.79,1
Goat Boneless,40.83,693.71,40.83,693.71,1
Ginger China / Lb,302.47,692.58,302.47,692.58,1
Cabbage Green/ Lb,1001.93,691.37,1001.93,691.37,1
Rti Pani Puri,138.0,688.62,138.0,688.62,1
Biro Sunflower Oil 3L,57.0,683.43,57.0,683.43,1
Laxmi Green Cardamom 200G,44.0,677.56,44.0,677.56,1
Jackfruit / Lb,525.11,673.21,525.11,673.21,1
     ORGANIC,50.0,669.5,50.0,669.5,1
Peeled Garlic /Lb,118.21,649.08,118.21,649.08,1
Goat Paya,72.16,648.59,72.16,648.59,1
Uncooked Chapati,81.0,647.19,81.0,647.19,1
Lays Magic Masala,432.0,643.68,432.0,643.68,1
Bru Green Label 500 Gms,92.0,643.08,92.0,643.08,1
India Gate Classic Rice 10 Lb,32.0,639.68,32.0,639.68,1
oddie dubai chocolate pista 27g,256.0,637.44,256.0,637.44,1
Grb cow Ghee 500Ml,65.0,637.35,65.0,637.35,1
White Onion - Lb,715.09,636.54,715.09,636.54,1
Dosakai / Lb,425.6,635.25,425.6,635.25,1
Pearl Onions /Lb,211.34,631.81,211.34,631.81,1
Goat Spleen,78.87,630.2,78.87,630.2,1
Yellow Onions 10Lb,104.0,622.96,104.0,622.96,1
Meharban Pitted Dates 24Oz,125.0,621.76,125.0,621.76,1
Karachi Osmania Biscuit 400G,155.0,618.45,155.0,618.45,1
Luxury Trends dhubai chocolate,71.0,614.29,71.0,614.29,1
Orange /Pc,828.07,611.27,828.07,611.27,1
Brook Bond Red Label Tea 900G,47.0,610.53,47.0,610.53,1
Kinder Joy Egg,306.0,608.94,306.0,608.94,1
Amul masti yogurt 2.2LB,122.0,608.78,122.0,608.78,1
Kamadhenu Milk Junnu Powder,101.0,604.99,101.0,604.99,1
Chinese Long Eggplant,317.76,594.75,317.76,594.75,1
Egg Plant Grafiti,256.56,585.49,256.56,585.49,1
Karoun's Yogurt Drink 1/2 Gal,98.0,584.02,98.0,584.02,1
Amul Cheese Slices 200Gm,116.0,578.84,116.0,578.84,1
Persimmon /Lb,143.04,564.59,143.04,564.59,1
Lemon (Yellow),2252.17,563.04,2252.17,563.04,1
"     Spices, Seasonings & Condiments / Papad",256.0,562.94,256.0,562.94,1
Desi Fulka 12 Count,80.0,559.2,80.0,559.2,1
Jade Elephant Garlic,187.0,559.13,187.0,559.13,1
Bru Coffee 200G Bottle,70.0,558.3,70.0,558.3,1
Town Bus Masala Peanuts 340g,109.0,540.38,109.0,540.38,1
CarsiBasi Dubai chocolate,54.0,539.46,54.0,539.46,1
SUGAR CANE,193.0,536.07,193.0,536.07,1
     Fruits & Vegetables,120.0,532.31,120.0,532.31,1
     Ready-to-Eat & Instant Foods / Soups,266.0,529.34,266.0,529.34,1
Karoun Yog Drink Plain 1Gal,48.0,527.52,48.0,527.52,1
Royal Chefs Secret (20Lb),18.0,521.82,18.0,521.82,1
Town Bus Rice Kodubale 340g,104.0,519.94,104.0,519.94,1
Town bus Thenkulal Muruku 340g,102.0,519.48,102.0,519.48,1
Wintermelon / Lb,522.48,517.28,522.48,517.28,1
Water bottle 40 BOTTLE,84.0,510.55,84.0,510.55,1
Guvar Beans,153.33,510.08,153.33,510.08,1
Desi Paneer 12 Oz,102.0,508.98,102.0,508.98,1
Beetroot /Lb,431.0,506.11,431.0,506.11,1
Yellow Onion 5Lb,167.0,499.33,167.0,499.33,1
Laxmi Urad Gota 2Lb,125.0,498.75,125.0,498.75,1
Aashirvad Multigrain 10Lb,32.0,496.7,32.0,496.7,1
White potato 5lb,111.0,496.39,111.0,496.39,1
Brook Bond Red Label 450G,71.0,496.29,71.0,496.29,1
Persian Cucumber /Lb,331.95,494.62,331.95,494.62,1
Tirumala W Milk Yogurt,55.0,494.45,55.0,494.45,1
Garlic Girl 5 Pc,196.89,490.26,196.89,490.26,1
     Snacks & Sweets / Jams,124.0,485.26,124.0,485.26,1
Lays Cream & Onion,325.0,484.25,325.0,484.25,1
Dubai chocolate premium,69.0,482.31,69.0,482.31,1
Bru Coffee Gold 150g,47.0,481.53,47.0,481.53,1
Mr Hing 50G,225.0,481.25,225.0,481.25,1
Laxmi Cumin Seeds 800G,37.0,480.63,37.0,480.63,1
     Cooking Essentials & Oils,81.0,480.19,81.0,480.19,1
carrot 2lb,241.0,479.59,241.0,479.59,1
Thai Eggplant / Lb,208.88,477.95,208.88,477.95,1
Lay's Spanish Tom Tango 61G,319.1,475.46,319.1,475.46,1
ORGANIC TAVA FRESH(organic),59.0,471.41,59.0,471.41,1
My Villagelittle Crystals20Lb,18.0,467.82,18.0,467.82,1
Yellow Onion 3LB,234.63,466.91,234.63,466.91,1
Laxmi Butter Ghee 56Oz/3.5Lb,15.0,463.85,15.0,463.85,1
Karachi's Bakery Butterfly Osmania 300g,116.0,462.84,116.0,462.84,1
Laxmi Idli Rice - 20Lb,19.0,461.81,19.0,461.81,1
Laxmi Whole Cashews 800G,27.0,458.73,27.0,458.73,1
Laxmi Shredded Coconut 400Gm,152.0,454.48,152.0,454.48,1
Town Bus Chakli 340gm,90.0,449.57,90.0,449.57,1
Cashew Whole 400G,49.0,440.51,49.0,440.51,1
Royal Basmati Rice 20Lb,19.0,436.81,19.0,436.81,1
Daawat Ultima Xtral Rice 10Lb,23.0,436.77,23.0,436.77,1
Drumstick Leaves,62.06,434.09,62.06,434.09,1
     Health & Personal Care / Medicine,117.0,428.73,117.0,428.73,1
Swetha Telugu Hand Pound Sona Masoori 20lb,16.0,426.84,16.0,426.84,1
Mtr Gulab Jamun Mix 500Gm,71.0,421.29,71.0,421.29,1
Laxmi Sesame Oil 2L,25.0,419.75,25.0,419.75,1
Priya Ginger Garlic Paste 750G,60.0,419.4,60.0,419.4,1
Morton Salt,280.0,417.2,280.0,417.2,1
Asv Aata With Millets 10 Lb,22.0,415.78,22.0,415.78,1
Laxmi Phool Makhana 400G,26.0,409.74,26.0,409.74,1
     Beverages / Mango Pulp,84.0,407.16,84.0,407.16,1
Grb Pure Ghee 1600Ml,15.0,406.85,15.0,406.85,1
Townbus Banana Chips 340g,81.0,401.19,81.0,401.19,1
Telugu Chekodilu 6Oz,151.0,400.99,151.0,400.99,1
Snake Gourd / Lb,148.84,400.42,148.84,400.42,1
Biro Sunflower Oil 5L,25.0,399.75,25.0,399.75,1
Royal Chef's Secret Bas 10Lb,25.0,399.75,25.0,399.75,1
Dubai Chocolate luxe 70g,50.0,399.5,50.0,399.5,1
gANESH 10 INCH,11.0,395.89,11.0,395.89,1
Laxmi Cumin Seeds 400Gm,66.0,395.34,66.0,395.34,1
Lx Cold Pressed Peanut Oil 2liter,24.0,394.76,24.0,394.76,1
Chaokoh Coconut Milk 400Ml,131.0,391.69,131.0,391.69,1
Britannia Little Hearts 75 Gms,395.0,391.05,395.0,391.05,1
Vajra Crystal Sona Masoori 20lb,17.0,390.83,17.0,390.83,1
     Frozen Items,67.0,388.13,67.0,388.13,1
Rti Pani Puri Tray,48.0,383.52,48.0,383.52,1
Thirumala Dahi Yogurt 2Lb,76.0,379.24,76.0,379.24,1
Royal Sona Masori 20Lb,14.0,377.86,14.0,377.86,1
Ramdev Phool Makhana 7oz,50.0,377.5,50.0,377.5,1
Karoun Yogurt Drink Mint 1/2G,54.0,377.46,54.0,377.46,1
Verka Panner 10Oz,63.0,377.37,63.0,377.37,1
Laxmi Sooji Course 4 Lbs,63.0,377.37,63.0,377.37,1
Telugu Seeraga Sambarice 20Lb,13.0,376.87,13.0,376.87,1
Maggi Masala Pack,762.0,376.38,762.0,376.38,1
Kohinoor Organic Sona Massori20lb,18.0,371.82,18.0,371.82,1
Town Bus Kai Murukku 340G,74.0,371.26,74.0,371.26,1
     Fruits & Vegetables / CanVeg ,169.0,369.33,169.0,369.33,1
Kissan Mixed Fruit Jam,93.0,369.07,93.0,369.07,1
Laxmi Crystal S Masoori 20Lb,13.0,365.87,13.0,365.87,1
Thumbsup,73.0,364.27,73.0,364.27,1
Sri Ganesh Dosa Batter 850G,73.0,364.27,73.0,364.27,1
Karachi Fruit Biscuits 400G,91.0,363.09,91.0,363.09,1
Deep Cow Ghee 32Oz,15.0,359.85,15.0,359.85,1
Coorgbrew 340G,36.0,359.64,36.0,359.64,1
Big laddu,39.0,359.61,39.0,359.61,1
Laxmi Gram Flour Besan(2Lbs),90.0,358.6,90.0,358.6,1
Town Bus Butter Muruku 340gm,74.0,355.28,74.0,355.28,1
     Dairy Products,71.0,354.29,71.0,354.29,1
zanlyn dosa/idli batter,71.0,354.29,71.0,354.29,1
Sandwich Bread,59.0,353.41,59.0,353.41,1
Amul Ghee 1Lt (905G),22.0,351.78,22.0,351.78,1
Karoun Yog Drink Mint 1Gal,32.0,351.68,32.0,351.68,1
Cadbury Dairy Milk Choc 45G,176.0,350.24,176.0,350.24,1
Ramdev Phool Makhana 400g,27.0,348.73,27.0,348.73,1
Swagat Half Coconut 200G,139.0,346.11,139.0,346.11,1
Amul Butter -500Gm,43.0,343.57,43.0,343.57,1
Laxmi Kabuli Chana 4Lb,49.0,342.51,49.0,342.51,1
Laxmi Cashew Pcs 400G,57.0,341.43,57.0,341.43,1
Town bus RibbonMurukku 340g,70.0,341.31,70.0,341.31,1
Kurkure Masala Munch 130G,227.0,338.23,227.0,338.23,1
Chyote /Lb,261.06,336.71,261.06,336.71,1
Kohinoor Extra Long(Gold) Basmati 10 Lb,24.0,335.76,24.0,335.76,1
     Religious & Cultural Items / INCENSES,86.0,334.64,86.0,334.64,1
Potato Idaho 5Lb Bag,111.0,331.89,111.0,331.89,1
MODA DUBAI CHOCOLATE 95G,66.0,330.34,66.0,330.34,1
Sujata Atta 20 Lb,17.0,322.83,17.0,322.83,1
Laxmi Low Gi Basmati Rice 10Lb,19.0,322.81,19.0,322.81,1
BRu INSTANT POUCH RICH AROMA 200G,22.0,321.78,22.0,321.78,1
Gopi Lowfat Yogurt 4Lb,40.0,319.6,40.0,319.6,1
Deccan Jeerasamba Rice 10Lbs,22.0,316.78,22.0,316.78,1
Aashirvaad Ww Flour 10Lb,25.0,309.75,25.0,309.75,1
Jasmine Flower (box),31.0,309.69,31.0,309.69,1
swagat kala chana 2lb,77.0,307.23,77.0,307.23,1
Laxmi Golden Raisians 800G,38.0,306.62,38.0,306.62,1
Laxmi Grated Coconut 400Gm,102.0,304.98,102.0,304.98,1
Telugu Idli Rava 4Lb,45.0,304.55,45.0,304.55,1
Sri Ganesh Idly Batter 1700G,38.0,303.62,38.0,303.62,1
Swagat Chana Dal 2Lb,76.0,303.24,76.0,303.24,1
Mango Leaf,306.0,302.94,306.0,302.94,1
Telugu Sugar 4Lb,43.0,300.57,43.0,300.57,1
THIRUMALA PANEER 14 OZ,43.0,300.57,43.0,300.57,1
     Beverages / Healthy Drinks,48.0,300.02,48.0,300.02,1
          advatisements,1.0,300.0,1.0,300.0,1
Royal Basmati Rice 10Lb,20.0,299.8,20.0,299.8,1
Pumpkin/lb,300.5,297.54,300.5,297.54,1
     Non-Tax,50.0,296.5,50.0,296.5,1
Sdp Sesame Oil 1L,21.0,293.79,21.0,293.79,1
Laxmi Fenel Seeds -400Gm,48.0,293.52,48.0,293.52,1
Honest Sandwich Bread,49.0,293.51,49.0,293.51,1
Lychee Fresh / Lb,48.96,293.26,48.96,293.26,1
lotus,98.0,293.02,98.0,293.02,1
Lays Hot N Sweet,196.0,292.04,196.0,292.04,1
Sdp Sesame Oil 5L,5.0,289.95,5.0,289.95,1
Deep Tandoori Naan 16Pcs,29.0,289.71,29.0,289.71,1
Tata Salt 1KG,116.0,288.84,116.0,288.84,1
Laxmi Green Cardamom 100G,33.0,287.67,33.0,287.67,1
Britania Goodday Cashw Fmly Pk 600g,48.0,287.52,48.0,287.52,1
Laxmi Ging Garlic Paste 24Oz,48.0,287.52,48.0,287.52,1
Soya Chunks 400G,96.0,287.04,96.0,287.04,1
swagat split peanut laddu 200g,96.0,287.04,96.0,287.04,1
Dosa Batter 3548 Ml,15.0,284.85,15.0,284.85,1
Daawat Basmati Rice 10 Lb,15.0,284.85,15.0,284.85,1
Gazab Cashew Whole 28 Oz,19.0,284.81,19.0,284.81,1
RAMDEV CUMIN 200G,95.0,284.05,95.0,284.05,1
Laxmi Coconut Powder Med 800Gm,36.0,283.64,36.0,283.64,1
Lx Cold Pressed Sesame Oil 2L,12.0,282.88,12.0,282.88,1
Red Onion 3LB,70.68,280.99,70.68,280.99,1
Kurkure Green Chutney Rajastha,188.0,280.12,188.0,280.12,1
Aashirvaad Mult Flour 4Lb,39.0,279.61,39.0,279.61,1
     Rakhis,68.0,279.3,68.0,279.3,1
Mtr Sambar Powder 500G,31.0,278.69,31.0,278.69,1
Sdp Groundnut Oil 5L,6.0,275.94,6.0,275.94,1
Telugu India Sugar 2lb,79.0,275.71,79.0,275.71,1
Telugu Upma Rava/Bombai 4Lb,46.0,275.54,46.0,275.54,1
laxmi Jaggery Powder 2lb,46.0,275.54,46.0,275.54,1
roasted peanuts,92.0,275.08,92.0,275.08,1
Gopi Low Fat Yogurt 2Lb,55.0,274.45,55.0,274.45,1
Sdp Groundnut Oil 2Li,13.0,272.87,13.0,272.87,1
Laxmi Cashew Pieces (800G),21.0,272.79,21.0,272.79,1
Telugu Upma/Bombai Rava 2LB,91.0,272.09,91.0,272.09,1
Fresh Garlic,91.0,272.09,91.0,272.09,1
Amul Cow Ghee,17.0,271.83,17.0,271.83,1
ID Malabar Parota/960g,34.0,271.66,34.0,271.66,1
Amul Butter Unsalted 500Gm,34.0,271.66,34.0,271.66,1
Laxmi Grated Coconut 1.2Kg,34.0,271.66,34.0,271.66,1
Tandoori Plain Naan 16 Pieces,34.0,271.66,34.0,271.66,1
Limca Can 300 Ml,136.0,270.64,136.0,270.64,1
Oragnic Sona Masoori Rice 10lb,18.0,269.82,18.0,269.82,1
Ching's Veg Hakka Noodle 600G,54.0,269.46,54.0,269.46,1
Taj Mahal 1Kg,16.0,267.84,16.0,267.84,1
Laxmi Moong Dal 2Lb,62.0,267.38,62.0,267.38,1
     NONE,95.0,266.05,95.0,266.05,1
Laxmi Urad Gota 8Lb,19.0,265.81,19.0,265.81,1
Deccan Jeerasamba Rice 20Lb,10.0,264.9,10.0,264.9,1
Deep Home Style Paratha 20Pc,24.0,263.76,24.0,263.76,1
MEHARBAN CARDAMOM 200G,24.0,263.76,24.0,263.76,1
Kurkure Naughty Tomato,177.0,263.73,177.0,263.73,1
Deep Garlic Naan 12 Pcs,27.0,260.74,27.0,260.74,1
Frooti - 200 Ml Individual,265.0,260.37,265.0,260.37,1
Kohinoor Extra Fine(Silver) Basmati10lb,20.0,259.8,20.0,259.8,1
Corn Piece,185.0,259.65,185.0,259.65,1
mushroom 8oz,103.0,256.47,103.0,256.47,1
swagat cold pressed peanut oil,16.0,255.84,16.0,255.84,1
Laxmi Sesame (1Lt),24.0,253.76,24.0,253.76,1
Lx Butter Ghee 8Oz,35.0,253.65,35.0,253.65,1
Priya Ginger Garlic Paste 10.6,85.0,253.15,85.0,253.15,1
Telugu Kara Boondi 170Gm,94.0,252.06,94.0,252.06,1
Amul Cheese Chiplet 200Gm,42.0,251.58,42.0,251.58,1
Aashirvad Ww Atta 4Lb,48.0,251.52,48.0,251.52,1
Aara Crystal Soan Massori 20Lb,10.0,249.9,10.0,249.9,1
Dabur Red Toothpaste 200ml,63.0,249.38,63.0,249.38,1
Laxmi Kashmiri Chill poder 400G,35.0,248.65,35.0,248.65,1
Avani Peanut Oil 1L,33.0,247.17,33.0,247.17,1
Sri Ganesh Idly Batter,13.0,246.87,13.0,246.87,1
Potatoes Red/ Lb,249.11,246.66,249.11,246.66,1
Laxmi Gingelly Oil 5 Lt,7.0,244.93,7.0,244.93,1
natures own honey wheat,61.0,243.39,61.0,243.39,1
Cadbury Fruit & Nut 49Gm,122.0,242.78,122.0,242.78,1
Haldiram Rasmalai 2.2Lb,18.0,241.82,18.0,241.82,1
Town Bus Thattai 340g,47.0,240.03,47.0,240.03,1
Nanak Desi Ghee 1.6 Kg,8.0,239.92,8.0,239.92,1
Grb Cow Ghee 830Ml,16.0,239.84,16.0,239.84,1
Nihi Foods Atreyapuram Putharekulu 10pcs,16.0,239.84,16.0,239.84,1
Wagh Bakri Tea 1Kg,20.0,239.8,20.0,239.8,1
