product,barcode,order,product_quantity,total_price,average_sales_price,average_cost_price,margin
White potato 5lb,033383520100,112,111.0,496.39,4.467678571428571,2.0,274.39
green coco,gcoco,3,8.0,34.92,4.323333333333333,3.0,10.92
     Snacks & Sweets / Can Sweets,,12,14.0,82.86,5.906666666666666,4.0,26.86
Bc Bikaneri Rasgulla 1kg,810086030019,4,6.0,35.94,5.99,4.0,11.94
Grb Raj Bhog 1kg,8906010367480,8,8.0,46.92,5.865,4.0,14.92
     Non-Tax,,44,50.0,296.5,6.126363636363636,4.2084,86.08
Chaokoh Coconut Milk,044738075145,2,2.0,5.98,2.99,9.33,-12.68
Bush Garbanzo Chick peas,39400018216,2,3.0,5.97,1.99,1.2499999999999998,2.22
Haldiram tandoori garlic naan 16 pcs,8904063209931,11,12.0,107.88,8.99,6.13,34.32
telugu wheat rava 2lb,8906081382191,7,11.0,43.89,3.99,3.0,10.89
balaji cashew pieces,8904147425202,1,1.0,6.99,6.99,3.75,3.24
adani cumin seeds/400g,8904147400896,21,21.0,125.79,5.99,3.7,48.09
     Fruits & Vegetables / CanVeg ,,92,169.0,369.33,2.2252,1.1678106508875739,171.97
Nestle Carnation Eva Milk 5Oz,050000010516,6,9.0,6.93,0.66,0.62,1.35
Goya Crushed Tomatoes 28Oz,041331039222,2,2.0,9.98,4.99,3.0,3.98
Goya Blackeye Peas Can 15Oz,041331124263,3,4.0,7.96,1.99,1.38,2.44
Goya Black Beans 15Oz,041331124669,3,3.0,5.97,1.99,1.38,1.83
Red&White Evaporated Milk 354M,050700020204,2,5.0,12.45,2.49,1.2099999999999997,6.4
Krikland Evaporated Milk,096619189045,1,3.0,5.97,1.99,1.3299999999999998,1.98
Jiva Organic Coconut Milk,692991709439,14,23.0,68.77,2.99,2.1599999999999997,19.09
Famous Chick Peas 400Gm,776476210822,4,6.0,11.94,1.99,0.7399999999999999,7.5
Famous Chick Peas 400gm,776476210822,31,58.0,115.42,1.99,0.7900000000000001,69.6
Jiva Organic Cocnut Cream,692991709446,1,1.0,3.49,3.49,2.8000000000000003,0.69
Chef's Ch Coconut milk 400ml,093856990014,5,7.0,13.93,1.99,1.2899999999999998,4.9
Condensed Milk 14 Oz,078742433042,1,1.0,2.99,2.99,2.2300000000000004,0.76
Goya Chick Peas 439G,041331124225,4,10.0,19.9,1.99,1.38,6.1
Goya Chick Peas 1 Lb,041331024198,4,5.0,19.95,3.99,2.6,6.95
Famous Kala Chana 400G,8028277004691,19,32.0,63.68,1.99,0.79,38.4
     Health & Personal Care,,16,17.0,117.85,6.932352941176471,5.176470588235294,29.85
Vedic Tulsi Powder 100g,8525180069026,1,1.0,4.99,4.99,3.0,1.99
Shills Hydra Facials mask 25g,8904470805122,1,1.0,3.99,3.99,2.0,1.99
Shills korean glass mask 25g,8904470819174,1,1.0,3.99,3.99,2.0,1.99
Lion Date Multigrain Mix 500g,8906006721739,3,3.0,23.97,7.99,4.999999999999999,8.97
Pond's DreamFlower 400g,8901030868993,11,11.0,80.91,7.355454545454545,6.0,14.91
"     Spices, Seasonings & Condiments / Food Color & Essence",,41,52.0,109.48,2.109565217391304,1.2107692307692308,46.52
Preema Green Food Colour,5021507999494,3,3.0,5.97,1.99,1.16,2.49
Gazab Vanilla,841970027082,4,4.0,7.96,1.99,0.99,4.0
Viola Cardamom,8906083750011,1,1.0,1.99,1.99,1.0,0.99
Viola Butter Scotch,8906083750172,2,3.0,5.97,1.99,0.9999999999999999,2.97
Viola Biryani Essence 20Ml,8906083750028,2,3.0,5.97,1.99,1.5,1.47
gazab food color orange,810070982683,2,2.0,3.98,1.99,1.25,1.48
Vanilla Essance,8906083750035,3,3.0,5.97,1.99,0.9999999999999999,2.97
Gazab Red Food Color 50Gm,810070982669,4,4.0,7.96,1.99,1.25,2.96
gazab food color yellow,810070982676,8,8.0,15.92,1.99,1.25,5.92
Food Fl Kewra,8906083750127,2,3.0,5.97,1.99,0.9999999999999999,2.97
Viola Pineapple Essence,8906083750066,4,6.0,11.94,1.99,0.9999999999999999,5.94
WEIKFIELD BICARBONATE SODA,6291023410158,11,12.0,29.88,2.49,1.46,12.36
     Health & Personal Care / Soap and Shampoo,,50,69.0,199.81,3.088039215686274,1.455072463768116,99.41
Tide Ultra OXI Boost 887ml,030772175019,5,5.0,34.95,6.99,4.800000000000001,10.95
Vatika Black seed Complete Care Conditioner 400ml,5022496005869,1,1.0,6.99,6.99,4.800000000000001,2.19
Parachute Aloe veera Oil 150ml,8901088080279,2,2.0,4.98,2.49,1.1000000000000003,2.78
Parachute Coconut and Avocado Shampoo 340ml,8901088744249,3,4.0,19.96,4.99,2.8000000000000003,8.76
          pia beauty ubtan bath powder,,1,1.0,7.99,7.99,6.0,1.99
Dettol orginal 75g,8901396393603,11,21.0,41.79,1.99,1.2,16.59
Tumbler Plastic,943460236,8,8.0,15.92,1.99,0.0,15.92
Lux,8901030539749,20,27.0,67.23,2.49,1.0000000000000002,40.23
     Beverages / Healthy Drinks,,40,48.0,300.02,6.6775,3.981666666666666,108.9
Horlicks 1kg,8901030976063,14,14.0,139.86,9.99,6.490000000000001,49.0
Manna Health Mix,8906008350050,6,10.0,39.9,3.99,2.4299999999999997,15.6
HORLICKS ORIGNAL 500GM,5000347098376,1,1.0,4.49,4.49,3.0900000000000003,1.4
Meharban Guava Juice 3L,723246290003,2,2.0,11.98,5.99,4.1000000000000005,3.78
Bournvita 500g,679529741079,2,2.0,9.98,4.99,3.3000000000000003,3.38
Horlicks 1Kg,8901030976063,1,1.0,12.99,12.99,9.17,3.82
lion dried amla in honey 250g,8906006722453,5,7.0,34.93,4.99,3.0,13.93
Gazab Sattu 400G,862120901700,6,8.0,27.92,3.49,2.25,9.92
GAZAB ORANGE MANGO,810070983413,3,3.0,17.97,5.99,3.2999999999999994,8.07
     Dairy Products,,66,71.0,354.29,4.99,3.0000000000000004,141.29
zanlyn dosa/idli batter,853895006004,66,71.0,354.29,4.99,3.0000000000000004,141.29
     Beverages / Mango Pulp,,63,84.0,407.16,4.83375,3.2507142857142863,134.1
DEEP ALPHONSO MANGO PULP,011433151672,6,10.0,59.9,5.99,3.5,24.9
Desai Amar Amrut Payri 850G,8906018323433,1,1.0,4.99,4.99,3.33,1.66
Desai Mango Pulp 850G,8906018327042,3,3.0,20.97,6.99,5.329999999999999,4.98
Kesar Mango Pulp Gazab 30 Oz,810070983031,14,23.0,110.77,4.704285714285715,3.369565217391304,33.27
Deep Kesar Mango Pulp,011433152235,19,24.0,95.76,3.99,3.0,23.76
Devam Barnyard Millet 2.2Lb,932767917904,8,8.0,47.92,5.99,3.75,17.92
Laxmi Kesar Mango Pulp(850G),11433152235,13,15.0,66.85,4.451538461538462,2.6159999999999997,27.61
     Cooking Essentials & Oils,,83,81.0,480.19,6.002048192771085,3.7646913580246912,175.25
Organic Tattva Groundnut 1 lit,8906055442579,4,4.0,35.96,8.99,5.6,13.56
Pia Beauty Rosemary Mint 60ml,199284596399,8,6.0,53.94,8.99,5.989999999999999,18.0
Parachute Coconut oil 1L,8901088000505,3,3.0,20.97,6.99,5.0,5.97
parachute coconut oil 177ml,856408005952,20,20.0,49.8,2.49,1.4999999999999998,19.8
swagat cold pressed peanut oil,643864828368,16,16.0,255.84,15.99,11.0,79.84
Parachute Coconut Oil 89ml,8564080050062,32,32.0,63.68,1.99,0.8,38.08
     candy,,24,31.0,61.69,1.99,0.0,61.69
kitkat,03424607,24,31.0,61.69,1.99,0.0,61.69
     NONE,,67,95.0,266.05,3.032857142857143,1.6284210526315792,111.35
tongue cleaner,tongue cleaner,18,31.0,61.69,1.99,2.0,-0.31
GLOVES,000008,1,1.0,14.99,14.99,9.99,5.0
Reynolds wrap heavy duty,010900000246,2,2.0,12.98,6.49,4.48,4.02
TEA CUPS,400010185009,1,1.0,4.99,4.99,3.9000000000000004,1.09
jj flora brooms,4699276641,7,7.0,20.93,2.99,1.5999999999999999,9.73
GN PREIMUM GRIPS,5039044392425,1,1.0,10.99,10.99,6.99,4.0
stainless steel scrubbers,714415298029,1,1.0,3.99,3.99,2.88,1.11
Vadilal Vanilla Icecream 100ml,8901777766040,3,5.0,9.95,1.99,1.0499999999999998,4.7
VADILAL MIX VEG KULCHA 100GM,8901777417126,2,2.0,6.98,3.49,2.29,2.4
WHITE SPOONS 48 PCS,681131573931,3,3.0,8.97,2.99,2.0,2.97
Sikharam (50gms),8906048286869,8,9.0,27.91,3.115,2.0,9.91
WHITE CHALK,884920108011,5,5.0,9.95,1.99,1.19,4.0
Gujarati Velan Wooden,943460151,5,6.0,23.94,3.99,1.5000000000000002,14.94
Foil Tray Big With lid,ftb,5,6.0,17.94,2.99,0.0,17.94
Foil Tray small With Lid,fts,8,15.0,29.85,1.99,0.0,29.85
     Snacks & Sweets / Jams,,119,124.0,485.26,3.893361344537815,2.788306451612903,139.51
Kissan Mixed Fruit Jam(500G),8901030452482,21,22.0,87.78,3.99,2.7,28.38
Periyar Orange Jam 500g,8902082100086,8,6.0,17.94,2.99,1.4700000000000004,9.12
Lion dates syrup 250gm,8906006720220,3,3.0,10.47,3.49,2.3000000000000003,3.57
Kissan Mixed Fruit Jam,8901030850400,87,93.0,369.07,3.967011494252874,2.91,98.44
"     Spices, Seasonings & Condiments / Papad",,185,256.0,562.94,2.224146341463415,1.4044531250000003,203.4
Swagat Ragi Unfried Panipuri,643864812022,1,1.0,1.99,1.99,1.3,0.69
Dewan unfried panipuri 75g,643864971309,2,3.0,5.97,1.99,0.9899999999999999,3.0
Farfar Star 200Gms,643864981827,1,1.0,1.99,1.99,0.8,1.19
dewan pani puri 75gm,643864985115,1,2.0,3.98,1.99,0.99,2.0
BHAIYAJI'S PANI PURI,789555426052,1,1.0,1.99,1.99,0.99,1.0
Gazab Sago Jalebi Papad400g,841970029840,5,5.0,17.45,3.49,2.5,4.95
MALABAR UNFRIED PANIPURI 200G,850067282129,2,2.0,2.98,1.49,0.8,1.38
Bajara Fryums 200,850616003663,2,2.0,4.98,2.49,1.6,1.78
Ambika Appalam No.3,8904085900090,24,26.0,64.74,2.49,1.75,19.24
fryums 14oz,8904147412455,1,1.0,1.99,1.99,1.0,0.99
Mother's Madras Appalam 200gm,8907316008220,2,2.0,3.98,1.99,1.05,1.88
Gazab Star Farfar 400G,864951101380,5,7.0,13.93,1.99,1.3499999999999999,4.48
Kathiyawadi Coriander Chili,787421736700,3,4.0,7.96,1.99,1.3,2.76
RAGI FRYUMS 200GM,850616003670,1,1.0,2.49,2.49,1.5000000000000002,0.99
Aara Fryums Bhindi Cut Colour,857038006012,6,7.0,17.43,2.49,1.5,6.93
Aara Star Color Fryums 400g,857038006289,2,2.0,4.98,2.49,1.5000000000000002,1.98
GAZAB ALPHABET FRYUMS 400G,841970025194,2,2.0,5.98,2.99,1.9900000000000002,2.0
Farfar Star 400G,643864981834,1,1.0,2.99,2.99,1.5000000000000002,1.49
Farfar Okra(400Gms),643864982237,1,1.0,2.99,2.99,1.5000000000000002,1.49
Gazab Nepali Fryums 14Oz,841970025170,1,1.0,2.99,2.99,1.3500000000000003,1.64
Jowar Fryums 200Gm,850616003656,4,4.0,9.96,2.49,1.6,3.56
Mix Colour 400Gms,850027824208,6,6.0,14.94,2.49,1.5,5.94
Lijjat Punjbi Masala Papd 200G,8901441017010,7,8.0,15.92,1.99,1.19,6.4
GAZAB MIX SHAPES FRYUMS 400G,841970024722,3,3.0,8.97,2.99,2.0,2.97
Ramdev Poha corn,8902188346081,30,34.0,82.66,2.356666666666666,1.3852941176470586,35.56
Gazab Pipe Cut 400g,864951100901,19,20.0,39.8,1.99,1.2499999999999998,14.8
Bikaneri Special Papad 200G,8906011410222,15,35.0,69.65,1.99,1.4800000000000002,17.85
Lijjat Jeera Papad 200Gm,8901441010011,15,20.0,39.8,1.99,1.13,17.2
Ambika Papad,8904085900151,42,54.0,107.46,1.99,1.2999999999999998,37.26
     Religious & Cultural Items / INCENSES,,81,86.0,334.64,3.89,2.1575581395348835,149.09
HEM SANDAL ROSE,8901810012431,7,7.0,27.93,3.99,2.25,12.18
Hem Shree Ram Incense,8901810013520,1,1.0,3.99,3.99,2.0500000000000003,1.94
Hem Lord Vishnu Incense,8901810013551,3,3.0,11.97,3.99,2.2500000000000004,5.22
Hem Kewda,8901810016453,1,1.0,3.99,3.99,1.75,2.24
Hem Maha Laxmi Incense,8901810013513,5,5.0,14.95,2.99,2.25,3.7
Gopurm Sambrani,123456789j,1,1.0,2.49,2.49,1.5000000000000002,0.99
Tilak,8904147425875,1,1.0,1.99,1.99,0.75,1.24
Hem Shree Krishna Incense,8901810013506,4,4.0,15.96,3.99,2.25,6.96
Hem Gulab/Rose Incense,8901810001015,7,7.0,27.93,3.99,2.25,12.18
Hem Jasmine Incense,8901810001398,5,5.0,19.95,3.99,2.25,8.7
Hem Maa Durga Incense,8901810013476,4,4.0,15.96,3.99,2.25,6.96
Hem Veer Hanuman Incense,8901810013490,6,6.0,23.94,3.99,2.2500000000000004,10.44
Hem Lord Shiva Incense,8901810013544,4,4.0,15.96,3.99,2.25,6.96
Hem Shree Ganesh INCENSE,8901810013483,4,4.0,15.96,3.99,2.25,6.96
HWM TIRUPATI BALAJI,8901810127586,4,4.0,15.96,3.99,2.25,6.96
Hem Levender,8901810001039,10,10.0,39.9,3.99,2.25,17.4
Hem Precious Lily,8901810001640,8,9.0,35.91,3.99,2.2499999999999996,15.66
Hem Flowers Incense,8901810001657,10,10.0,39.9,3.99,1.75,22.4
     cosmetics,,30,38.0,149.62,4.349375,1.6578947368421053,86.62
CLEANING BRUSH,943460223,5,10.0,12.9,1.29,0.7,5.9
Black rose kali mehandi 5*10gm,815865000016,5,5.0,14.95,2.99,1.2,8.95
Itch Guard cream 25gm,8901177103704,2,2.0,5.98,2.99,1.0000000000000002,3.98
Ponds magic 400gm,8901030868955,8,8.0,63.92,7.99,6.0,15.92
Fair and lovely Glow HD 44g,8901030942686,12,13.0,51.87,3.99,0.0,51.87
     Ready-to-Eat & Instant Foods / Soups,,125,266.0,529.34,1.99,1.1025563909774436,236.06
Chinese Manchurian 44g,8901030681936,5,7.0,13.93,1.99,1.1999999999999997,5.53
Knorr Chinese Chilli,8901030681950,4,4.0,7.96,1.99,1.1400000000000001,3.4
Knorr Mixed Vegetable Soup,8901030900136,21,25.0,49.75,1.99,1.04,23.75
Knorr Hong Kong 45G,8901030900297,25,32.0,63.68,1.99,1.1400000000000001,27.2
Knorr Hot&Sour Vegetable Soup,8901030900112,48,64.0,127.36,1.99,1.08,58.24
Knorr Thick Tomato Soup,8901030900105,39,56.0,111.44,1.99,1.0399999999999998,53.2
Knorr Sweet Corn42G,8901030900129,55,78.0,155.22,1.99,1.1600000000000001,64.74
     Frozen Items,,56,67.0,388.13,5.712807017543859,1.8598507462686569,263.52
Deep Kati roll Tawa Paneer 18g,011433160261,3,5.0,16.45,3.29,2.5,3.95
Deep Kati Roll paneer Tikka 18gh,011433160285,1,1.0,3.29,3.29,2.8,0.49
Deep Any tine Cheesy Corn Stars,011433164924,2,2.0,7.98,3.99,2.0,3.98
Vadilal Bajri Rotla 325g,8901777166765,5,5.0,14.95,2.99,1.75,6.2
Vadilal Sugarcane Pieces 312g,8901777249666,1,1.0,4.99,4.99,3.6000000000000005,1.39
Vadilal hyderbadi onion samosa 400g,8901777384121,2,2.0,11.98,5.99,4.08,3.82
Vadilal Kesar Pista Shrikahand 454g,8901777513156,2,2.0,13.98,6.99,4.6,4.78
Vadilal Butterstoch Srikhand 454g,8901777519158,1,1.0,6.99,6.99,4.6,2.39
NDI bites Cocktail samosa 70 pieces,8906146770734,3,4.0,55.96,13.99,9.0,19.96
Indi Bites Vegtable Spring Roll,8906146770697,9,9.0,35.91,3.99,2.9999999999999996,8.91
pan fresh sole fish,617865862317,1,1.0,11.99,11.99,8.0,3.99
desi puri 20 count,615764131701,27,34.0,203.66,5.99,0.0,203.66
"     Rice, Grains & Flour Products",,55,61.0,714.39,12.39350877192982,6.627377049180327,310.12
Chettinad Barnyard Millet 2LB,081393005803,2,2.0,7.98,3.99,2.5,2.98
Chettinad Foxtail Millet 2LB,081393005810,1,1.0,3.99,3.99,2.5,1.49
Chettinad Little millet 2lb,081393005834,3,3.0,11.97,3.99,2.5000000000000004,4.47
Royal Chef Secret 40LB,745042000105,3,2.0,69.98,34.99,0.0,69.98
Falak Sella Extra Long Basmiti,8961100092604,4,2.0,25.98,12.99,9.5,6.98
sdp sona masoori 20lb,850026857559,2,2.0,59.98,29.99,25.0,9.98
Deccan Idly Rava 4lb,8906147053591,13,16.0,79.84,4.99,2.6,38.24
Telugu ragi idli rava 2lb,8906142016942,14,16.0,63.84,3.99,1.4900000000000002,40.0
Vajra Crystal Sona Masoori 20lb,vjc,15,17.0,390.83,22.99,14.989999999999998,136.0
     Health & Personal Care / Medicine,,100,117.0,428.73,3.71,1.9552136752136753,199.97
Himalaya Chavanaprasha 500g,605069600163,1,1.0,6.99,6.99,3.6,3.39
DABOUR BS+CO TOOTHPASTE 132G,810165930124,2,2.0,7.98,3.99,2.5500000000000003,2.88
DABOUR GINGER + MINT TOOTHPAST,810165930131,2,2.0,7.98,3.99,2.5500000000000003,2.88
Vedic Jamun Powder 100g,8525180061006,1,1.0,4.99,4.99,3.0,1.99
Boroline Antiseptic Cream 20G,8901531300015,5,5.0,14.95,2.99,1.4999999999999998,7.45
Sat-isabgol big,8904013000007,4,4.0,19.96,4.99,3.0,7.96
Adani Jethimadh Sticks 50G,8904147414244,1,1.0,4.49,4.49,3.0,1.49
Clove Oil,8906103470424,1,1.0,2.99,2.99,1.5000000000000002,1.49
Kayam Churna 100g,8908001948098,1,1.0,2.99,2.99,1.7500000000000002,1.24
Woodward's Gripe Wate 130Ml,8902618000019,2,3.0,6.87,2.29,1.5599999999999998,2.19
Vedic Moringa Powder,8525180060016,1,1.0,4.99,4.99,3.5,1.49
Kushal Kanthil,8906034510008,9,11.0,27.39,2.49,1.5,10.89
TIGER BALM RED 21ML,8888650403073,3,3.0,8.97,2.99,1.75,3.72
Himalaya ashvagandha capsules,605069063647,1,1.0,5.99,5.99,3.3000000000000003,2.69
Moov Pain Relief Specialist,8901177100505,9,9.0,44.91,4.99,3.1599999999999997,16.47
Dettol /125Ml,12496000471,19,21.0,41.79,1.99,1.25,15.54
vicks vaporub,4987176191199,5,5.0,17.45,3.49,2.0,7.45
tikka paste,943460945,9,9.0,31.41,3.49,2.25,11.16
Vicks Vaporub 50Ml,4987176244987,4,4.0,19.96,4.99,2.5,9.96
Dabur Red Tooth Paste 200G,8901207000324,1,6.0,17.94,2.99,2.1500000000000004,5.04
Eno Orange,8901571011063,3,3.0,11.97,3.99,1.5000000000000002,7.47
Kayam Churna Tablets (30Tabs),8908001948210,5,5.0,19.95,3.99,2.1279999999999997,9.31
Sat-Isabgol,8904013000014,11,12.0,35.88,2.99,0.0,35.88
Dettol Antiseptic Liquid 550Ml,8901396354604,5,6.0,59.94,9.99,4.999999999999999,29.94
     ORGANIC,,38,50.0,669.5,14.92421052631579,8.889800000000001,225.01
happy leaf organic jowar flour 3.5lbs,709081274095,1,1.0,6.49,6.49,4.5,1.99
24 Brown Basmati Rice 10Lb,8904083518150,5,5.0,134.95,26.99,17.499999999999996,47.45
ORGANIC TATTVA RED CHILLI POWDER 200g,8906055443002,2,3.0,8.47,2.99,1.7533333333333336,3.21
Organic Tattva Wheat Daila 4lb,8906055445587,1,1.0,5.99,5.99,5.5,0.49
24M Urad White Split 4Lb,8904083517184,4,4.0,51.96,12.99,7.91,20.32
24M Basmati White Rice 10Lb,8904083518143,2,2.0,59.98,29.99,24.11,11.76
24M Idly Rice 10Lb,8904083511571,3,3.0,53.97,17.99,11.75,18.72
24M Organic Sona Masuri 10lb,8904083522249,4,4.0,79.96,19.99,13.499999999999998,25.96
24M Mustard Oil 1Ltr,8904083505983,3,4.0,39.96,9.99,6.5,13.96
manna Health mix 454g,8906008351798,4,6.0,41.94,6.99,4.6,14.34
24 M Sonamasoori Brown 10Lb,8904083512059,4,6.0,119.94,19.99,13.75,37.44
